"","Indiv","Sire","Dam","Sex","Breed","Born"
"4208","animal4208","animal3636","animal3798","female","Angler",2021
"4209","animal4209","animal3636","animal3801","female","Angler",2021
"4210","animal4210","animal3636","animal3762","male","Angler",2021
"4211","animal4211","animal3280","animal3886","female","Holstein",1994
"4212","animal4212","animal3133","animal3887","female","Angler",2000
"4213","animal4213","animal3228","animal3889","female","Angler",2001
"4214","animal4214","animal2624","animal3895","female","Angler",2002
"4215","animal4215","animal3552","animal3894","female","Angler",2002
"4216","animal4216","animal3670","animal3891","female","Angler",2002
"4217","animal4217","animal3670","animal3888","female","Angler",2003
"4218","animal4218","animal3349","animal3899","female","Angler",2003
"4219","animal4219","animal3361","animal3893","female","Angler",2003
"4220","animal4220","animal3550","animal3902","male","Angler",2004
"4221","animal4221","animal3458","animal3906","male","Angler",2004
"4222","animal4222","animal3040","animal3908","female","Angler",2004
"4223","animal4223","animal3468","animal3897","male","Angler",2005
"4224","animal4224","animal3458","animal3914","female","Angler",2005
"4225","animal4225","animal3468","animal3896","female","Angler",2005
"4226","animal4226","animal3458","animal3892","female","Angler",2005
"4227","animal4227","animal3235","animal3903","female","Angler",2006
"4228","animal4228","animal2803","animal3903","male","Angler",2007
"4229","animal4229","animal3561","animal3911","male","Angler",2007
"4230","animal4230","animal2803","animal3934","female","Angler",2007
"4231","animal4231","animal3477","animal3902","male","Angler",2007
"4232","animal4232","animal3926","animal3921","female","Angler",2007
"4233","animal4233","animal3925","animal3700","female","Angler",2007
"4234","animal4234","animal2944","animal3913","female","Angler",2007
"4235","animal4235","animal3482","animal3915","female","Angler",2008
"4236","animal4236","animal3477","animal3912","female","Angler",2008
"4237","animal4237","animal3472","animal3897","male","Angler",2008
"4238","animal4238","animal3482","animal3904","male","Angler",2008
"4239","animal4239","animal3680","animal3892","male","Angler",2008
"4240","animal4240","animal3696","animal3936","female","Angler",2008
"4241","animal4241","animal2944","animal3903","male","Angler",2008
"4242","animal4242","animal3477","animal3907","male","Angler",2008
"4243","animal4243","animal3587","animal3923","female","Angler",2008
"4244","animal4244","animal3040","animal3928","male","Angler",2008
"4245","animal4245","animal3482","animal3922","female","Angler",2008
"4246","animal4246","animal3901","animal3679","female","Angler",2008
"4247","animal4247","animal3489","animal3933","female","Angler",2008
"4248","animal4248","animal3702","animal3929","male","Angler",2008
"4249","animal4249","animal3702","animal3918","male","Angler",2009
"4250","animal4250","animal3480","animal3897","female","Angler",2009
"4251","animal4251","animal3943","animal3919","female","Angler",2009
"4252","animal4252","animal3045","animal3945","male","Angler",2010
"4253","animal4253","animal3900","animal3741","male","Angler",2010
"4254","animal4254","animal3145","animal3929","male","Angler",2010
"4255","animal4255","animal3927","animal3746","female","Angler",2010
"4256","animal4256","animal3482","animal3920","female","Angler",2010
"4257","animal4257","animal3718","animal3917","female","Angler",2010
"4258","animal4258","animal3927","animal3954","female","Angler",2010
"4259","animal4259","animal3930","animal3582","female","Angler",2011
"4260","animal4260","animal3040","animal3937","female","Angler",2011
"4261","animal4261","animal3927","animal3583","female","Angler",2011
"4262","animal4262","animal3480","animal3931","female","Angler",2012
"4263","animal4263","animal3946","animal3958","female","Angler",2013
"4264","animal4264","animal3584","animal3944","female","Angler",2013
"4265","animal4265","animal3943","animal3949","female","Angler",2013
"4266","animal4266","animal3946","animal3951","female","Angler",2013
"4267","animal4267","animal3584","animal3944","female","Angler",2013
"4268","animal4268","animal3482","animal3941","female","Angler",2013
"4269","animal4269","animal3584","animal3944","female","Angler",2014
"4270","animal4270","animal3584","animal3944","male","Angler",2014
"4271","animal4271","animal3950","animal3955","male","Angler",2014
"4272","animal4272","animal3365","animal3955","male","Angler",2014
"4273","animal4273","animal3718","animal3959","female","Angler",2015
"4274","animal4274","animal3901","animal39","female","Angler",2015
"4275","animal4275","animal3733","animal3910","female","Angler",2015
"4276","animal4276","animal3927","animal24","male","Angler",2015
"4277","animal4277","animal3900","animal3897","female","Angler",2015
"4278","animal4278","animal3957","animal47","male","Angler",2015
"4279","animal4279","animal3924","animal3554","male","Angler",2015
"4280","animal4280","animal3943","animal42","female","Angler",2015
"4281","animal4281","animal3905","animal3554","female","Angler",2015
"4282","animal4282","animal3890","animal54","male","Angler",2015
"4283","animal4283","animal3942","animal56","male","Angler",2015
"4284","animal4284","animal3932","animal57","female","Angler",2015
"4285","animal4285","animal3956","animal39","male","Angler",2015
"4286","animal4286","animal3924","animal43","male","Angler",2015
"4287","animal4287","animal3699","animal3959","female","Angler",2015
"4288","animal4288","animal3924","animal28","male","Angler",2015
"4289","animal4289","animal9","animal3959","male","Angler",2015
"4290","animal4290","animal3947","animal19","male","Angler",2015
"4291","animal4291","animal3489","animal3910","male","Angler",2015
"4292","animal4292","animal3924","animal58","male","Angler",2015
"4293","animal4293","animal3481","animal3959","male","Angler",2015
"4294","animal4294","animal1","animal3892","male","Angler",2015
"4295","animal4295","animal3957","animal3244","female","Angler",2015
"4296","animal4296","animal3713","animal3897","female","Angler",2015
"4297","animal4297","animal3692","animal3944","female","Angler",2015
"4298","animal4298","animal3900","animal72","male","Angler",2015
"4299","animal4299","animal3916","animal22","female","Angler",2015
"4300","animal4300","animal3924","animal29","female","Angler",2015
"4301","animal4301","animal3712","animal3960","female","Angler",2015
"4302","animal4302","animal3916","animal73","female","Angler",2015
"4303","animal4303","animal3927","animal39","male","Angler",2015
"4304","animal4304","animal3943","animal43","female","Angler",2015
"4305","animal4305","animal3","animal3910","female","Angler",2015
"4306","animal4306","animal3901","animal39","female","Angler",2015
"4307","animal4307","animal3956","animal36","female","Angler",2015
"4308","animal4308","animal3898","animal15","male","Angler",2015
"4309","animal4309","animal3900","animal35","female","Angler",2015
"4310","animal4310","animal3739","animal3897","male","Angler",2015
"4311","animal4311","animal3529","animal3960","female","Angler",2015
"4312","animal4312","animal7","animal3892","male","Angler",2015
"4313","animal4313","animal3948","animal28","male","Angler",2015
"4314","animal4314","animal3927","animal70","female","Angler",2015
"4315","animal4315","animal3561","animal3910","female","Angler",2015
"4316","animal4316","animal3932","animal77","female","Angler",2015
"4317","animal4317","animal3957","animal26","male","Angler",2015
"4318","animal4318","animal3722","animal3940","male","Angler",2015
"4319","animal4319","animal3939","animal79","male","Angler",2015
"4320","animal4320","animal3728","animal3910","male","Angler",2015
"4321","animal4321","animal3542","animal3944","female","Angler",2015
"4322","animal4322","animal3909","animal3897","male","Angler",2015
"4323","animal4323","animal3939","animal71","male","Angler",2015
"4324","animal4324","animal3932","animal71","female","Angler",2015
"4325","animal4325","animal3890","animal40","male","Angler",2015
"4326","animal4326","animal3890","animal61","female","Angler",2015
"4327","animal4327","animal6","animal3940","male","Angler",2015
"4328","animal4328","animal3932","animal64","male","Angler",2015
"4329","animal4329","animal3952","animal52","male","Angler",2015
"4330","animal4330","animal3943","animal53","female","Angler",2015
"4331","animal4331","animal2","animal3892","male","Angler",2015
"4332","animal4332","animal3943","animal45","male","Angler",2015
"4333","animal4333","animal3957","animal3554","female","Angler",2015
"4334","animal4334","animal10","animal3960","male","Angler",2015
"4335","animal4335","animal3202","animal3940","female","Angler",2015
"4336","animal4336","animal3927","animal67","male","Angler",2015
"4337","animal4337","animal3957","animal3944","female","Angler",2015
"4338","animal4338","animal3953","animal69","female","Angler",2015
"4339","animal4339","animal3718","animal3944","male","Angler",2015
"4340","animal4340","animal3957","animal68","female","Angler",2015
"4341","animal4341","animal3943","animal16","female","Angler",2015
"4342","animal4342","animal3909","animal3244","female","Angler",2015
"4343","animal4343","animal3587","animal3944","female","Angler",2015
"4344","animal4344","animal3909","animal48","male","Angler",2015
"4345","animal4345","animal3563","animal3940","female","Angler",2015
"4346","animal4346","animal3952","animal68","male","Angler",2015
"4347","animal4347","animal3916","animal34","male","Angler",2015
"4348","animal4348","animal3924","animal3910","female","Angler",2015
"4349","animal4349","animal3890","animal3897","female","Angler",2015
"4350","animal4350","animal3956","animal64","female","Angler",2015
"4351","animal4351","animal10","animal3959","female","Angler",2015
"4352","animal4352","animal3930","animal29","female","Angler",2015
"4353","animal4353","animal3930","animal27","male","Angler",2015
"4354","animal4354","animal3689","animal3944","female","Angler",2015
"4355","animal4355","animal3900","animal84","female","Angler",2015
"4356","animal4356","animal3942","animal36","female","Angler",2015
"4357","animal4357","animal3901","animal77","female","Angler",2015
"4358","animal4358","animal3924","animal3706","male","Angler",2015
"4359","animal4359","animal3456","animal3940","female","Angler",2015
"4360","animal4360","animal3898","animal27","female","Angler",2015
"4361","animal4361","animal3711","animal3944","female","Angler",2015
"4362","animal4362","animal3568","animal3910","female","Angler",2015
"4363","animal4363","animal3905","animal26","male","Angler",2015
"4364","animal4364","animal3349","animal3892","female","Angler",2015
"4365","animal4365","animal3718","animal3960","male","Angler",2015
"4366","animal4366","animal3956","animal84","female","Angler",2015
"4367","animal4367","animal3890","animal3583","male","Angler",2015
"4368","animal4368","animal3953","animal22","male","Angler",2015
"4369","animal4369","animal3956","animal35","male","Angler",2015
"4370","animal4370","animal3943","animal72","male","Angler",2015
"4371","animal4371","animal3953","animal3960","female","Angler",2015
"4372","animal4372","animal3942","animal16","female","Angler",2015
"4373","animal4373","animal3956","animal3910","male","Angler",2015
"4374","animal4374","animal3924","animal84","female","Angler",2015
"4375","animal4375","animal3709","animal3892","male","Angler",2015
"4376","animal4376","animal3484","animal3959","female","Angler",2015
"4377","animal4377","animal3948","animal74","female","Angler",2015
"4378","animal4378","animal3905","animal84","male","Angler",2015
"4379","animal4379","animal3739","animal3910","male","Angler",2015
"4380","animal4380","animal3932","animal32","male","Angler",2015
"4381","animal4381","animal3707","animal3897","male","Angler",2015
"4382","animal4382","animal3932","animal3554","male","Angler",2015
"4383","animal4383","animal3932","animal3940","male","Angler",2015
"4384","animal4384","animal3932","animal63","female","Angler",2015
"4385","animal4385","animal3513","animal3892","female","Angler",2015
"4386","animal4386","animal3890","animal81","female","Angler",2016
"4387","animal4387","animal3953","animal3554","female","Angler",2016
"4388","animal4388","animal3952","animal3554","female","Angler",2016
"4389","animal4389","animal3956","animal32","female","Angler",2016
"4390","animal4390","animal3927","animal3910","female","Angler",2016
"4391","animal4391","animal3733","animal3910","female","Angler",2016
"4392","animal4392","animal3916","animal3706","female","Angler",2016
"4393","animal4393","animal3957","animal38","male","Angler",2016
"4394","animal4394","animal3663","animal3910","female","Angler",2016
"4395","animal4395","animal3905","animal51","female","Angler",2016
"4396","animal4396","animal3930","animal42","female","Angler",2016
"4397","animal4397","animal3890","animal74","female","Angler",2016
"4398","animal4398","animal3947","animal3455","female","Angler",2016
"4399","animal4399","animal3900","animal37","female","Angler",2016
"4400","animal4400","animal3942","animal3244","male","Angler",2016
"4401","animal4401","animal3490","animal4025","male","Angler",2016
"4402","animal4402","animal3490","animal4072","male","Angler",2016
"4403","animal4403","animal3490","animal4082","female","Angler",2016
"4404","animal4404","animal3490","animal4026","male","Angler",2016
"4405","animal4405","animal3597","animal4101","male","Angler",2016
"4406","animal4406","animal3597","animal4064","male","Angler",2016
"4407","animal4407","animal3597","animal4075","male","Angler",2016
"4408","animal4408","animal3597","animal4072","female","Angler",2016
"4409","animal4409","animal4001","animal1349","male","Angler",2016
"4410","animal4410","animal4001","animal3771","male","Angler",2016
"4411","animal4411","animal4001","animal3602","female","Angler",2016
"4412","animal4412","animal4001","animal3792","male","Angler",2016
"4413","animal4413","animal4001","animal3789","male","Angler",2016
"4414","animal4414","animal4001","animal1327","female","Angler",2016
"4415","animal4415","animal4001","animal1326","female","Angler",2016
"4416","animal4416","animal4001","animal1327","female","Angler",2016
"4417","animal4417","animal4001","animal4078","male","Angler",2016
"4418","animal4418","animal4001","animal4047","male","Angler",2016
"4419","animal4419","animal4001","animal4031","male","Angler",2016
"4420","animal4420","animal4001","animal3801","male","Angler",2016
"4421","animal4421","animal4001","animal3778","male","Angler",2016
"4422","animal4422","animal1329","animal3977","female","Angler",2016
"4423","animal4423","animal1329","animal4090","female","Angler",2016
"4424","animal4424","animal1329","animal4040","male","Angler",2016
"4425","animal4425","animal1329","animal4042","female","Angler",2016
"4426","animal4426","animal1353","animal3980","male","Angler",2016
"4427","animal4427","animal1353","animal4022","male","Angler",2016
"4428","animal4428","animal1353","animal4088","male","Angler",2016
"4429","animal4429","animal1353","animal4009","female","Angler",2016
"4430","animal4430","animal1353","animal3963","female","Angler",2016
"4431","animal4431","animal1353","animal3990","female","Angler",2017
"4432","animal4432","animal1353","animal4023","female","Angler",2017
"4433","animal4433","animal4089","animal3819","male","Angler",2017
"4434","animal4434","animal4089","animal3824","male","Angler",2017
"4435","animal4435","animal4089","animal1318","male","Angler",2017
"4436","animal4436","animal4089","animal1348","female","Angler",2017
"4437","animal4437","animal4089","animal3961","male","Angler",2017
"4438","animal4438","animal4089","animal3813","female","Angler",2017
"4439","animal4439","animal4089","animal3963","female","Angler",2017
"4440","animal4440","animal4089","animal3985","female","Angler",2017
"4441","animal4441","animal4089","animal1346","male","Angler",2017
"4442","animal4442","animal4089","animal1339","male","Angler",2017
"4443","animal4443","animal4089","animal4036","male","Angler",2017
"4444","animal4444","animal4089","animal1366","female","Angler",2017
"4445","animal4445","animal4089","animal3762","male","Angler",2017
"4446","animal4446","animal4089","animal3807","female","Angler",2017
"4447","animal4447","animal3814","animal3994","female","Angler",2017
"4448","animal4448","animal3814","animal3968","female","Angler",2017
"4449","animal4449","animal3814","animal4100","female","Angler",2017
"4450","animal4450","animal3814","animal4101","male","Angler",2017
"4451","animal4451","animal3814","animal4078","male","Angler",2017
"4452","animal4452","animal3636","animal3981","male","Angler",2017
"4453","animal4453","animal3636","animal3979","male","Angler",2017
"4454","animal4454","animal3636","animal4018","female","Angler",2017
"4455","animal4455","animal3636","animal3973","female","Angler",2017
"4456","animal4456","animal3490","animal4031","female","Angler",2017
"4457","animal4457","animal3490","animal4026","male","Angler",2017
"4458","animal4458","animal3597","animal3994","female","Angler",2017
"4459","animal4459","animal3597","animal4084","female","Angler",2017
"4460","animal4460","animal3597","animal4038","female","Angler",2017
"4461","animal4461","animal3597","animal4082","female","Angler",2017
"4462","animal4462","animal3597","animal4014","female","Angler",2017
"4463","animal4463","animal3597","animal4085","male","Angler",2017
"4464","animal4464","animal3597","animal4025","female","Angler",2017
"4465","animal4465","animal4001","animal3374","female","Angler",2017
"4466","animal4466","animal4001","animal1337","male","Angler",2017
"4467","animal4467","animal4001","animal3634","male","Angler",2017
"4468","animal4468","animal4001","animal4022","female","Angler",2017
"4469","animal4469","animal4001","animal3778","male","Angler",2017
"4470","animal4470","animal4001","animal3595","male","Angler",2017
"4471","animal4471","animal4001","animal4027","female","Angler",2017
"4472","animal4472","animal4001","animal3799","female","Angler",2017
"4473","animal4473","animal4001","animal4079","female","Angler",2017
"4474","animal4474","animal4001","animal1371","male","Angler",2017
"4475","animal4475","animal4001","animal3977","female","Angler",2017
"4476","animal4476","animal4001","animal3803","male","Angler",2017
"4477","animal4477","animal4001","animal3965","female","Angler",2017
"4478","animal4478","animal4001","animal1371","female","Angler",2017
"4479","animal4479","animal1329","animal3968","female","Angler",2017
"4480","animal4480","animal1329","animal4018","male","Angler",2017
"4481","animal4481","animal1329","animal4067","female","Angler",2017
"4482","animal4482","animal1329","animal4025","male","Angler",2017
"4483","animal4483","animal1329","animal3988","male","Angler",2017
"4484","animal4484","animal1329","animal3977","male","Angler",2017
"4485","animal4485","animal1329","animal3991","female","Angler",2017
"4486","animal4486","animal1329","animal4070","female","Angler",2017
"4487","animal4487","animal1353","animal3961","male","Angler",2018
"4488","animal4488","animal1353","animal3994","male","Angler",2018
"4489","animal4489","animal1353","animal3991","male","Angler",2018
"4490","animal4490","animal1353","animal4009","male","Angler",2018
"4491","animal4491","animal1353","animal4019","female","Angler",2018
"4492","animal4492","animal1353","animal4023","male","Angler",2018
"4493","animal4493","animal1353","animal3980","male","Angler",2018
"4494","animal4494","animal1353","animal4007","female","Angler",2018
"4495","animal4495","animal1353","animal4036","male","Angler",2018
"4496","animal4496","animal1353","animal3979","male","Angler",2018
"4497","animal4497","animal4089","animal4100","male","Angler",2018
"4498","animal4498","animal4089","animal3599","male","Angler",2018
"4499","animal4499","animal4089","animal4017","male","Angler",2018
"4500","animal4500","animal4089","animal3969","male","Angler",2018
"4501","animal4501","animal4089","animal3780","female","Angler",2018
"4502","animal4502","animal4089","animal3602","female","Angler",2018
"4503","animal4503","animal4089","animal3757","male","Angler",2018
"4504","animal4504","animal4089","animal1342","female","Angler",2018
"4505","animal4505","animal4089","animal4037","female","Angler",2018
"4506","animal4506","animal4089","animal4058","male","Angler",2018
"4507","animal4507","animal3814","animal3973","female","Angler",2018
"4508","animal4508","animal3814","animal4100","male","Angler",2018
"4509","animal4509","animal3814","animal4055","male","Angler",2018
"4510","animal4510","animal3814","animal4065","female","Angler",2018
"4511","animal4511","animal3636","animal4081","female","Angler",2018
"4512","animal4512","animal3636","animal3981","male","Angler",2018
"4513","animal4513","animal3636","animal3965","male","Angler",2018
"4514","animal4514","animal3636","animal4092","female","Angler",2018
"4515","animal4515","animal3636","animal4008","male","Angler",2018
"4516","animal4516","animal3636","animal4049","female","Angler",2018
"4517","animal4517","animal3636","animal3985","female","Angler",2018
"4518","animal4518","animal3636","animal4101","female","Angler",2018
"4519","animal4519","animal3490","animal4030","male","Angler",2018
"4520","animal4520","animal3490","animal4058","female","Angler",2018
"4521","animal4521","animal3490","animal4085","female","Angler",2018
"4522","animal4522","animal3490","animal4078","female","Angler",2018
"4523","animal4523","animal3597","animal3996","female","Angler",2018
"4524","animal4524","animal3597","animal4020","female","Angler",2018
"4525","animal4525","animal3597","animal4065","male","Angler",2018
"4526","animal4526","animal4001","animal3624","female","Angler",2018
"4527","animal4527","animal4001","animal3961","male","Angler",2018
"4528","animal4528","animal4001","animal4026","female","Angler",2018
"4529","animal4529","animal4001","animal1354","male","Angler",2018
"4530","animal4530","animal4001","animal3628","male","Angler",2018
"4531","animal4531","animal4001","animal1341","female","Angler",2018
"4532","animal4532","animal4001","animal4058","male","Angler",2018
"4533","animal4533","animal4001","animal3963","female","Angler",2018
"4534","animal4534","animal4001","animal3980","female","Angler",2018
"4535","animal4535","animal4001","animal3793","male","Angler",2018
"4536","animal4536","animal4001","animal1338","female","Angler",2018
"4537","animal4537","animal4001","animal3786","female","Angler",2018
"4538","animal4538","animal4001","animal3602","male","Angler",2018
"4539","animal4539","animal1329","animal3968","male","Angler",2018
"4540","animal4540","animal1329","animal3985","female","Angler",2018
"4541","animal4541","animal1329","animal4023","female","Angler",2018
"4542","animal4542","animal1329","animal4055","male","Angler",2018
"4543","animal4543","animal1329","animal4047","male","Angler",2018
"4544","animal4544","animal1329","animal4040","male","Angler",2018
"4545","animal4545","animal1329","animal4009","male","Angler",2018
"4546","animal4546","animal1353","animal4082","male","Angler",2019
"4547","animal4547","animal1353","animal3971","female","Angler",2019
"4548","animal4548","animal1353","animal4072","female","Angler",2019
"4549","animal4549","animal1353","animal4008","female","Angler",2019
"4550","animal4550","animal1353","animal4102","female","Angler",2019
"4551","animal4551","animal1353","animal3991","male","Angler",2019
"4552","animal4552","animal1353","animal3988","male","Angler",2019
"4553","animal4553","animal1353","animal4061","female","Angler",2019
"4554","animal4554","animal1353","animal4049","male","Angler",2019
"4555","animal4555","animal1353","animal4101","male","Angler",2019
"4556","animal4556","animal4089","animal1357","female","Angler",2019
"4557","animal4557","animal4089","animal3612","male","Angler",2019
"4558","animal4558","animal4089","animal3798","male","Angler",2019
"4559","animal4559","animal4089","animal1348","male","Angler",2019
"4560","animal4560","animal4089","animal1373","male","Angler",2019
"4561","animal4561","animal4089","animal4026","female","Angler",2019
"4562","animal4562","animal4089","animal3979","male","Angler",2019
"4563","animal4563","animal4089","animal3990","female","Angler",2019
"4564","animal4564","animal4089","animal4019","male","Angler",2019
"4565","animal4565","animal4089","animal1356","female","Angler",2019
"4566","animal4566","animal4089","animal4024","male","Angler",2019
"4567","animal4567","animal4089","animal1338","female","Angler",2019
"4568","animal4568","animal4089","animal1354","male","Angler",2019
"4569","animal4569","animal4089","animal4017","female","Angler",2019
"4570","animal4570","animal4089","animal3822","male","Angler",2019
"4571","animal4571","animal4089","animal3756","male","Angler",2019
"4572","animal4572","animal3814","animal4014","female","Angler",2019
"4573","animal4573","animal3814","animal3998","male","Angler",2019
"4574","animal4574","animal3814","animal4081","female","Angler",2019
"4575","animal4575","animal3814","animal3979","male","Angler",2019
"4576","animal4576","animal3814","animal4036","female","Angler",2019
"4577","animal4577","animal3814","animal3981","female","Angler",2019
"4578","animal4578","animal3814","animal4097","male","Angler",2019
"4579","animal4579","animal3814","animal4055","male","Angler",2019
"4580","animal4580","animal3636","animal4084","male","Angler",2019
"4581","animal4581","animal3636","animal4027","female","Angler",2019
"4582","animal4582","animal3636","animal3971","male","Angler",2019
"4583","animal4583","animal3636","animal4072","female","Angler",2019
"4584","animal4584","animal3490","animal3988","male","Angler",2019
"4585","animal4585","animal3490","animal3994","female","Angler",2019
"4586","animal4586","animal3490","animal4047","female","Angler",2019
"4587","animal4587","animal3490","animal4078","female","Angler",2019
"4588","animal4588","animal3597","animal3998","male","Angler",2019
"4589","animal4589","animal3597","animal4076","female","Angler",2019
"4590","animal4590","animal3597","animal4065","female","Angler",2019
"4591","animal4591","animal3597","animal4085","female","Angler",2019
"4592","animal4592","animal3597","animal3975","male","Angler",2019
"4593","animal4593","animal3597","animal3971","male","Angler",2019
"4594","animal4594","animal4001","animal3985","female","Angler",2019
"4595","animal4595","animal4001","animal1349","male","Angler",2019
"4596","animal4596","animal4001","animal3610","female","Angler",2019
"4597","animal4597","animal4001","animal4017","female","Angler",2019
"4598","animal4598","animal4001","animal4101","male","Angler",2019
"4599","animal4599","animal4001","animal4025","male","Angler",2019
"4600","animal4600","animal4001","animal3595","female","Angler",2019
"4601","animal4601","animal4001","animal3762","male","Angler",2019
"4602","animal4602","animal4001","animal1322","male","Angler",2019
"4603","animal4603","animal4001","animal3765","male","Angler",2019
"4604","animal4604","animal4001","animal3813","female","Angler",2019
"4605","animal4605","animal4001","animal3602","female","Angler",2019
"4606","animal4606","animal4001","animal4031","female","Angler",2019
"4607","animal4607","animal4001","animal3622","female","Angler",2019
"4608","animal4608","animal4001","animal3992","female","Angler",2019
"4609","animal4609","animal4001","animal3765","male","Angler",2019
"4610","animal4610","animal4001","animal3824","male","Angler",2019
"4611","animal4611","animal1329","animal4027","male","Angler",2019
"4612","animal4612","animal1329","animal4017","male","Angler",2019
"4613","animal4613","animal1353","animal4082","female","Angler",2020
"4614","animal4614","animal1353","animal3994","male","Angler",2020
"4615","animal4615","animal1353","animal4004","male","Angler",2020
"4616","animal4616","animal4089","animal3607","female","Angler",2020
"4617","animal4617","animal4089","animal1335","female","Angler",2020
"4618","animal4618","animal4089","animal3808","female","Angler",2020
"4619","animal4619","animal4089","animal4100","male","Angler",2020
"4620","animal4620","animal4089","animal3618","male","Angler",2020
"4621","animal4621","animal4089","animal4018","female","Angler",2020
"4622","animal4622","animal4089","animal4042","male","Angler",2020
"4623","animal4623","animal4089","animal4004","female","Angler",2020
"4624","animal4624","animal4089","animal3965","female","Angler",2020
"4625","animal4625","animal4089","animal3771","female","Angler",2020
"4626","animal4626","animal4089","animal1350","female","Angler",2020
"4627","animal4627","animal4089","animal4090","female","Angler",2020
"4628","animal4628","animal4089","animal4081","male","Angler",2020
"4629","animal4629","animal4089","animal4038","female","Angler",2020
"4630","animal4630","animal4089","animal1355","male","Angler",2020
"4631","animal4631","animal4089","animal1373","male","Angler",2020
"4632","animal4632","animal4089","animal3625","male","Angler",2020
"4633","animal4633","animal4089","animal4088","female","Angler",2020
"4634","animal4634","animal4089","animal4037","female","Angler",2020
"4635","animal4635","animal4089","animal1319","female","Angler",2020
"4636","animal4636","animal4089","animal4030","male","Angler",2020
"4637","animal4637","animal4089","animal3632","female","Angler",2020
"4638","animal4638","animal3814","animal4058","male","Angler",2020
"4639","animal4639","animal3814","animal4009","male","Angler",2020
"4640","animal4640","animal3814","animal4090","female","Angler",2020
"4641","animal4641","animal3814","animal4007","male","Angler",2020
"4642","animal4642","animal3814","animal4102","female","Angler",2020
"4643","animal4643","animal3814","animal3969","male","Angler",2020
"4644","animal4644","animal3636","animal3975","male","Angler",2020
"4645","animal4645","animal3490","animal4084","male","Angler",2020
"4646","animal4646","animal3490","animal4058","male","Angler",2020
"4647","animal4647","animal3490","animal4004","male","Angler",2020
"4648","animal4648","animal3490","animal4014","male","Angler",2020
"4649","animal4649","animal3490","animal4088","male","Angler",2020
"4650","animal4650","animal3490","animal4055","male","Angler",2020
"4651","animal4651","animal3597","animal4000","male","Angler",2020
"4652","animal4652","animal3597","animal4090","male","Angler",2020
"4653","animal4653","animal3597","animal4033","female","Angler",2020
"4654","animal4654","animal4001","animal3788","female","Angler",2020
"4655","animal4655","animal4001","animal3810","male","Angler",2020
"4656","animal4656","animal4001","animal3779","male","Angler",2020
"4657","animal4657","animal4001","animal3491","male","Angler",2020
"4658","animal4658","animal4001","animal3761","male","Angler",2020
"4659","animal4659","animal4001","animal3990","male","Angler",2020
"4660","animal4660","animal4001","animal4088","male","Angler",2020
"4661","animal4661","animal4001","animal3635","female","Angler",2020
"4662","animal4662","animal4001","animal3625","female","Angler",2020
"4663","animal4663","animal4001","animal4024","female","Angler",2020
"4664","animal4664","animal4001","animal3977","male","Angler",2021
"4665","animal4665","animal4001","animal1356","male","Angler",2021
"4666","animal4666","animal4001","animal3611","male","Angler",2021
"4667","animal4667","animal4001","animal3965","female","Angler",2021
"4668","animal4668","animal4001","animal3965","male","Angler",2021
"4669","animal4669","animal4001","animal3497","male","Angler",2021
"4670","animal4670","animal4001","animal3610","female","Angler",2021
"4671","animal4671","animal1329","animal4034","female","Angler",2021
"4672","animal4672","animal1329","animal4024","female","Angler",2021
"4673","animal4673","animal1353","animal4102","female","Angler",2021
"4674","animal4674","animal1353","animal4070","female","Angler",2021
"4675","animal4675","animal1353","animal4064","female","Angler",2021
"4676","animal4676","animal1353","animal4092","female","Angler",2021
"4677","animal4677","animal1353","animal4076","female","Angler",2021
"4678","animal4678","animal1353","animal4004","female","Angler",2021
"4679","animal4679","animal1353","animal4097","male","Angler",2021
"4680","animal4680","animal1353","animal4008","male","Angler",2021
"4681","animal4681","animal1353","animal4100","female","Angler",2021
"4682","animal4682","animal4089","animal3980","female","Angler",2021
"4683","animal4683","animal4089","animal1349","female","Angler",2021
"4684","animal4684","animal4089","animal4049","female","Angler",2021
"4685","animal4685","animal4089","animal3968","male","Angler",2021
"4686","animal4686","animal4089","animal3750","female","Angler",2021
"4687","animal4687","animal4089","animal3491","female","Angler",2021
"4688","animal4688","animal4089","animal3602","male","Angler",2021
"4689","animal4689","animal4089","animal3990","male","Angler",2021
"4690","animal4690","animal4089","animal3968","male","Angler",2021
"4691","animal4691","animal4089","animal3786","female","Angler",2021
"4692","animal4692","animal4089","animal1348","female","Angler",2021
"4693","animal4693","animal4089","animal1342","male","Angler",2021
"4694","animal4694","animal4089","animal3610","female","Angler",2021
"4695","animal4695","animal4089","animal1355","male","Angler",2021
"4696","animal4696","animal4089","animal3757","female","Angler",2021
"4697","animal4697","animal3814","animal3991","female","Angler",2021
"4698","animal4698","animal3814","animal4037","female","Angler",2021
"4699","animal4699","animal3814","animal4008","female","Angler",2021
"4700","animal4700","animal3814","animal4019","female","Angler",2021
"4701","animal4701","animal3814","animal3998","male","Angler",2021
"4702","animal4702","animal3814","animal4047","female","Angler",2021
"4703","animal4703","animal3814","animal4082","male","Angler",2021
"4704","animal4704","animal3814","animal4101","female","Angler",2021
"4705","animal4705","animal3636","animal4034","female","Angler",2021
"4706","animal4706","animal3636","animal3969","female","Angler",2021
"4707","animal4707","animal3636","animal4086","female","Angler",2021
"4708","animal4708","animal3636","animal4018","male","Angler",2021
