Indiv Sire Dam Sex Breed Born
animal3403 animal2927 animal3283 female Angler 1991
animal3404 animal2857 animal3252 female Angler 1992
animal3405 animal3177 animal3284 female Angler 1992
animal3406 animal2857 animal3273 female Angler 1992
animal3407 animal2995 animal3255 female Holstein 1992
animal3408 animal3176 animal3267 female Angler 1992
animal3409 animal3177 animal3263 male Angler 1992
animal3410 animal3257 animal3121 female Rbt 1992
animal3411 animal2857 animal3282 female Angler 1992
animal3412 animal2857 animal3282 male Angler 1992
animal3413 animal3296 animal2934 female Angler 1993
animal3414 animal3205 animal3258 female Angler 1993
animal3415 animal3177 animal3275 female Angler 1993
animal3416 animal3257 animal3277 female Angler 1993
animal3417 animal3205 animal3290 female Angler 1993
animal3418 animal3294 animal3222 female Angler 1993
animal3419 animal2857 animal3293 male Angler 1994
animal3420 animal3101 animal3286 male Angler 1994
animal3421 animal3300 animal3126 female Angler 1994
animal3422 animal2888 animal3303 male Holstein 1994
animal3423 animal3205 animal3269 female Angler 1994
animal3424 animal2926 animal3276 female Angler 1994
animal3425 animal2213 animal3288 female Angler 1995
animal3426 animal3257 animal2920 female Angler 1995
animal3427 animal3107 animal3305 female Angler 1995
animal3428 animal2213 animal3326 female Angler 1995
animal3429 animal2786 animal3324 male Angler 1995
animal3430 animal3325 animal3034 female Angler 1995
animal3431 animal2217 animal3310 female Angler 1996
animal3432 animal3107 animal3302 female Angler 1996
animal3433 animal2217 animal3317 male Angler 1996
animal3434 animal3292 animal3135 female Angler 1996
animal3435 animal3295 animal3264 male Angler 1996
animal3436 animal2427 animal3327 male Angler 1997
animal3437 animal2217 animal3313 female Angler 1997
animal3438 animal2427 animal3314 male Angler 1997
animal3439 animal2217 animal3312 male Angler 1997
animal3440 animal3127 animal3335 female Angler 1997
animal3441 animal2427 animal3336 female Angler 1997
animal3442 animal3295 animal3304 male Angler 1997
animal3443 animal3295 animal3304 female Angler 1997
animal3444 animal3295 animal3320 female Angler 1997
animal3445 animal3127 animal3309 female Angler 1997
animal3446 animal3343 animal3334 female Angler 1997
animal3447 animal3127 animal3344 female Angler 1997
animal3448 animal2217 animal3345 female Angler 1997
animal3449 animal3127 animal3323 female Angler 1997
animal3450 animal3127 animal3342 female Angler 1997
animal3451 animal3221 animal3315 male Rbt 1997
animal3452 animal3295 animal3329 female Angler 1997
animal3453 animal3295 animal3316 female Angler 1997
animal3454 animal3295 animal3125 female Angler 1997
animal3455 animal3119 animal3307 female Angler 1998
animal3456 animal3295 animal3316 male Angler 1998
animal3457 animal3299 animal3308 female Angler 1998
animal3458 animal3132 animal3338 male Angler 1998
animal3459 animal3127 animal3304 female Angler 1998
animal3460 animal3132 animal3338 female Angler 1998
animal3461 animal3295 animal3339 female Angler 1998
animal3462 animal3127 animal3301 female Angler 1999
animal3463 animal3299 animal3339 female Angler 1999
animal3464 animal3328 animal3128 male Angler 1999
animal3465 animal3297 animal3139 female Angler 1999
animal3466 animal3295 animal3226 female Angler 1999
animal3467 animal3033 animal3333 female Angler 1999
animal3468 animal3328 animal3338 male Angler 1999
animal3469 animal2429 animal3350 female Angler 1999
animal3470 animal3132 animal3338 male Angler 1999
animal3471 animal3311 animal3037 female Angler 2000
animal3472 animal3331 animal3136 male Angler 2000
animal3473 animal3330 animal2802 female Angler 2000
animal3474 animal3331 animal3039 male Angler 2000
animal3475 animal3332 animal3346 female Angler 2001
animal3476 animal3332 animal3358 male Angler 2001
animal3477 animal3340 animal3042 male Angler 2001
animal3478 animal3332 animal3238 female Angler 2001
animal3479 animal3340 NA female Angler 2001
animal3480 animal3340 animal2807 male Angler 2002
animal3481 animal3235 animal3357 male Angler 2002
animal3482 animal3340 animal3041 male Angler 2002
animal3483 animal3332 animal2805 female Angler 2002
animal3484 animal3235 animal3347 male Angler 2002
animal3485 animal3235 animal3355 female Angler 2003
animal3486 animal3235 animal3304 male Angler 2003
animal3487 animal3340 animal2810 female Angler 2003
animal3488 animal3142 animal3359 male Angler 2004
animal3489 animal3040 animal3351 male Angler 2006
animal3490 animal3361 animal32 male Angler 2015
animal3491 animal3349 animal49 female Angler 2015
animal3492 animal3361 animal33 male Angler 2015
animal3493 animal3361 animal39 male Angler 2015
animal3494 animal3348 animal25 male Angler 2015
animal3495 animal3348 animal50 male Angler 2015
animal3496 animal3361 animal83 female Angler 2016
animal3497 animal3361 animal3236 female Angler 2016
animal3498 animal3361 animal47 male Angler 2016
animal3499 animal1329 animal3370 female Angler 2019
animal3500 animal2157 animal3376 female Holstein 1981
animal3501 animal2587 animal3380 female Angler 1989
animal3502 animal2981 animal3375 male Rbt 1989
animal3503 animal2915 animal3378 female Angler 1990
animal3504 animal2926 animal3379 female Angler 1990
animal3505 animal3177 animal3384 female Angler 1991
animal3506 animal2909 animal3385 female Angler 1991
animal3507 animal3114 animal3381 male Rbt 1992
animal3508 animal3393 animal3122 female Angler 1992
animal3509 animal2769 animal3401 female Angler 1993
animal3510 animal2213 animal3403 female Angler 1993
animal3511 animal3205 animal3382 female Angler 1993
animal3512 animal3391 animal3394 female Angler 1993
animal3513 animal3377 animal3404 male Angler 1994
animal3514 animal2911 animal3407 female Holstein 1994
animal3515 animal3412 animal2935 female Angler 1994
animal3516 animal3116 animal3389 male Angler 1994
animal3517 animal3113 animal3392 male Rbt 1995
animal3518 animal3108 animal3410 male Rbt 1995
animal3519 animal2926 animal3387 female Angler 1995
animal3520 animal3377 animal3027 female Angler 1995
animal3521 animal3377 animal3279 male Angler 1995
animal3522 animal3257 animal3386 female Angler 1995
animal3523 animal3377 animal3321 male Angler 1995
animal3524 animal3292 animal3418 female Angler 1995
animal3525 animal3409 animal2798 female Angler 1995
animal3526 animal3292 animal3395 female Angler 1995
animal3527 animal3107 animal3388 female Angler 1995
animal3528 animal3420 animal3322 female Angler 1996
animal3529 animal2926 animal3400 male Angler 1996
animal3530 animal2857 animal3383 female Angler 1996
animal3531 animal2426 animal3396 female Angler 1996
animal3532 animal2426 animal3404 male Angler 1996
animal3533 animal3295 animal3408 female Angler 1996
animal3534 animal2217 animal3390 female Angler 1996
animal3535 animal2217 animal3402 female Angler 1996
animal3536 animal3295 animal3395 male Angler 1996
animal3537 animal3295 animal3405 female Angler 1996
animal3538 animal3377 animal3421 female Angler 1996
animal3539 animal3377 animal3306 female Angler 1996
animal3540 animal2926 animal3406 male Angler 1996
animal3541 animal2427 animal3414 female Angler 1997
animal3542 animal3295 animal3411 male Angler 1997
animal3543 animal3419 animal3417 female Angler 1997
animal3544 animal2217 animal3400 male Angler 1997
animal3545 animal2217 animal3425 female Angler 1997
animal3546 animal3127 animal3399 female Angler 1997
animal3547 animal3341 animal3398 female Angler 1997
animal3548 animal2427 animal3390 female Angler 1997
animal3549 animal3429 animal3318 female Angler 1998
animal3550 animal3127 animal3423 male Angler 1998
animal3551 animal1980 animal3432 female Angler 1998
animal3552 animal3319 animal3449 male Angler 1999
animal3553 animal3225 animal3448 female Angler 1999
animal3554 animal2789 animal3430 female Angler 1999
animal3555 animal3257 animal3444 female Angler 1999
animal3556 animal3354 animal3454 female Angler 1999
animal3557 animal2427 animal3434 female Angler 1999
animal3558 animal3225 animal3446 female Angler 1999
animal3559 animal3456 animal3445 female Angler 2000
animal3560 animal3438 animal3352 female Angler 2000
animal3561 animal3422 animal3140 male Angler 2000
animal3562 animal3299 animal3399 female Angler 2000
animal3563 animal3420 animal3426 male Angler 2000
animal3564 animal3332 animal3447 female Angler 2001
animal3565 animal3332 animal3431 female Angler 2001
animal3566 animal3337 animal3453 male Angler 2001
animal3567 animal3332 animal3450 female Angler 2001
animal3568 animal3420 animal3452 male Angler 2001
animal3569 animal3337 animal3428 female Angler 2001
animal3570 animal3337 animal3443 male Angler 2002
animal3571 animal3235 animal3437 female Angler 2002
animal3572 animal3337 animal3465 female Angler 2002
animal3573 animal3235 animal3440 male Angler 2002
animal3574 animal3332 animal3461 female Rbt 2002
animal3575 animal3142 animal3460 male Angler 2003
animal3576 animal3142 animal3479 female Angler 2003
animal3577 animal3436 animal2945 female Angler 2003
animal3578 animal3040 animal3483 male Angler 2004
animal3579 animal3439 animal3453 male Angler 2004
animal3580 animal3040 animal3457 female Angler 2004
animal3581 animal3332 animal3463 female Angler 2005
animal3582 animal3435 animal3363 female Angler 2005
animal3583 animal3468 animal3466 female Angler 2005
animal3584 animal2224 animal3469 male Angler 2005
animal3585 animal3468 animal3473 male Angler 2006
animal3586 animal3040 animal3478 male Angler 2006
animal3587 animal3468 animal3473 male Angler 2006
animal3588 animal3468 animal3475 female Angler 2007
animal3589 animal2803 animal3478 male Angler 2008
animal3590 animal3145 animal3460 male Angler 2010
animal3591 animal3456 animal20 male Angler 2015
animal3592 animal3 animal3455 female Angler 2015
animal3593 animal3476 animal25 male Angler 2015
animal3594 animal3458 animal24 male Angler 2015
animal3595 animal3470 animal16 female Angler 2015
animal3596 animal3484 animal34 male Angler 2015
animal3597 animal3476 animal46 male Angler 2015
animal3598 animal3464 animal55 male Angler 2015
animal3599 animal3464 animal57 female Angler 2015
animal3600 animal3481 animal61 female Angler 2015
animal3601 animal3456 animal16 male Angler 2015
animal3602 animal3486 animal15 female Angler 2015
animal3603 animal3464 animal55 female Angler 2015
animal3604 animal3489 animal31 female Angler 2015
animal3605 animal3476 animal36 male Angler 2015
animal3606 animal3456 animal17 female Angler 2015
animal3607 animal3486 animal32 female Angler 2015
animal3608 animal3456 animal75 male Angler 2015
animal3609 animal3349 animal3455 male Angler 2015
animal3610 animal3481 animal38 female Angler 2015
animal3611 animal3458 animal40 female Angler 2015
animal3612 animal3481 animal36 female Angler 2015
animal3613 animal7 animal3455 male Angler 2015
animal3614 animal3458 animal19 male Angler 2015
animal3615 animal3464 animal16 male Angler 2015
animal3616 animal3458 animal50 female Angler 2015
animal3617 animal3456 animal55 male Angler 2015
animal3618 animal3488 animal49 female Angler 2015
animal3619 animal3489 animal3244 female Angler 2015
animal3620 animal3484 animal55 female Angler 2015
animal3621 animal3439 animal43 female Angler 2015
animal3622 animal5 animal3455 female Angler 2015
animal3623 animal3481 animal24 male Angler 2015
animal3624 animal3439 animal49 female Angler 2015
animal3625 animal3486 animal35 female Angler 2015
animal3626 animal3486 animal24 male Angler 2015
animal3627 animal3484 animal47 male Angler 2015
animal3628 animal3476 animal52 female Angler 2015
animal3629 animal3484 animal73 male Angler 2015
animal3630 animal3488 animal25 male Angler 2015
animal3631 animal3476 animal75 male Angler 2015
animal3632 animal3484 animal37 female Angler 2015
animal3633 animal3489 animal25 male Angler 2015
animal3634 animal3456 animal59 female Angler 2015
animal3635 animal3481 animal74 female Angler 2015
animal3636 animal3470 animal38 male Angler 2015
animal3637 animal3481 animal79 male Angler 2015
animal3638 animal3439 animal39 female Angler 2015
animal3639 animal3488 animal3455 male Angler 2016
animal3640 animal3476 animal67 female Angler 2016
animal3641 animal3490 animal1356 male Angler 2016
animal3642 animal3490 animal1338 male Angler 2016
animal3643 animal3490 animal1335 male Angler 2016
animal3644 animal3490 animal1330 male Angler 2016
animal3645 animal3490 animal1360 male Angler 2016
animal3646 animal3490 animal3496 female Angler 2017
animal3647 animal3490 animal1325 male Angler 2017
animal3648 animal1329 animal3491 female Angler 2017
animal3649 animal1329 animal3496 male Angler 2018
animal3650 animal3490 animal1342 male Angler 2019
animal3651 animal3490 animal1348 female Angler 2019
animal3652 animal3490 animal1328 male Angler 2019
animal3653 animal3490 animal1318 female Angler 2020
animal3654 animal3490 animal1346 female Angler 2020
animal3655 animal3490 animal3496 female Angler 2020
animal3656 animal3490 animal1326 female Angler 2020
animal3657 animal3490 animal1318 male Angler 2020
animal3658 animal3490 animal1325 female Angler 2020
animal3659 animal2745 animal3500 female Holstein 1990
animal3660 animal3024 animal3503 female Angler 1993
animal3661 animal2783 animal3505 female Angler 1993
animal3662 animal3377 animal3504 female Angler 1994
animal3663 animal2926 animal3501 male Angler 1994
animal3664 animal3202 animal3508 female Angler 1994
animal3665 animal3502 animal3298 female Angler 1995
animal3666 animal3214 animal3511 female Angler 1995
animal3667 animal3516 animal3011 female Angler 1996
animal3668 animal2220 animal3506 female Angler 1996
animal3669 animal3377 animal3509 female Angler 1996
animal3670 animal3295 animal3514 male Rbt 1996
animal3671 animal3420 animal3512 female Angler 1996
animal3672 animal3295 animal3519 female Angler 1997
animal3673 animal3521 animal3424 female Angler 1997
animal3674 animal3297 animal3515 female Angler 1997
animal3675 animal3523 animal3397 female Angler 1998
animal3676 animal3507 animal3338 female Angler 1998
animal3677 animal3225 animal3519 female Angler 1998
animal3678 animal3127 animal3538 female Angler 1998
animal3679 animal3439 animal3528 female Angler 1999
animal3680 animal3507 animal3441 male Angler 1999
animal3681 animal3319 animal3545 female Angler 1999
animal3682 animal3319 animal3543 female Angler 1999
animal3683 animal3328 animal3527 female Angler 1999
animal3684 animal3536 animal3223 female Angler 1999
animal3685 animal3442 animal3525 female Angler 1999
animal3686 animal3433 animal3526 female Angler 1999
animal3687 animal2943 animal3524 female Angler 1999
animal3688 animal3507 animal3427 male Angler 2000
animal3689 animal3513 animal3416 male Angler 2000
animal3690 animal3230 animal3541 male Angler 2000
animal3691 animal3233 animal3519 female Angler 2000
animal3692 animal3420 animal3530 male Angler 2000
animal3693 animal3513 animal3453 female Angler 2000
animal3694 animal3507 animal3415 female Angler 2001
animal3695 animal3337 animal3548 male Angler 2001
animal3696 animal3518 animal3449 male Angler 2001
animal3697 animal3332 animal3533 female Angler 2001
animal3698 animal3332 animal3530 male Angler 2001
animal3699 animal3332 animal3531 male Angler 2001
animal3700 animal3513 animal3413 female Angler 2001
animal3701 animal3518 animal3522 female Angler 2001
animal3702 animal3518 animal3537 male Angler 2001
animal3703 animal3337 animal3530 female Angler 2001
animal3704 animal3507 animal3459 female Angler 2001
animal3705 animal3513 animal3520 female Angler 2001
animal3706 animal3332 animal3510 female Angler 2001
animal3707 animal3337 animal3530 male Angler 2001
animal3708 animal3337 animal3530 female Angler 2001
animal3709 animal3332 animal3534 male Angler 2001
animal3710 animal3513 animal3557 female Angler 2001
animal3711 animal3235 animal3551 male Angler 2002
animal3712 animal3235 animal3537 male Angler 2002
animal3713 animal3529 animal3453 male Angler 2002
animal3714 animal3561 animal3239 female Angler 2002
animal3715 animal3529 animal3360 male Angler 2002
animal3716 animal3518 animal3447 female Angler 2002
animal3717 animal3507 animal3562 female Angler 2002
animal3718 animal3517 animal3356 male Angler 2003
animal3719 animal3540 animal3547 female Angler 2003
animal3720 animal3348 animal3569 female Angler 2003
animal3721 animal3142 animal3535 female Angler 2003
animal3722 animal3540 animal3449 male Angler 2003
animal3723 animal3532 animal3353 female Angler 2003
animal3724 animal3518 animal2626 female Angler 2003
animal3725 animal3550 animal3471 male Angler 2004
animal3726 animal3550 animal3537 female Angler 2004
animal3727 animal3458 animal3558 female Angler 2004
animal3728 animal3550 animal3455 male Angler 2004
animal3729 animal3550 animal3460 male Angler 2004
animal3730 animal3476 animal3560 female Angler 2004
animal3731 animal3458 animal3555 male Angler 2004
animal3732 animal3550 animal3467 female Angler 2004
animal3733 animal3451 animal3556 male Angler 2004
animal3734 animal3468 animal3565 male Angler 2005
animal3735 animal3040 animal3559 female Angler 2005
animal3736 animal2806 animal3577 female Angler 2005
animal3737 animal2806 animal3576 female Angler 2005
animal3738 animal3468 animal3553 female Angler 2005
animal3739 animal3040 animal3574 male Angler 2005
animal3740 animal3468 animal3572 male Angler 2005
animal3741 animal3579 animal3363 female Angler 2006
animal3742 animal3472 animal3565 male Angler 2006
animal3743 animal2944 animal3571 male Angler 2006
animal3744 animal3477 animal3571 male Angler 2007
animal3745 animal3472 animal3567 male Angler 2007
animal3746 animal3586 animal3485 female Angler 2008
animal3747 animal3482 animal3581 female Angler 2009
animal3748 animal3480 animal3580 female Angler 2010
animal3749 animal3570 animal41 female Angler 2015
animal3750 animal3532 animal50 female Angler 2015
animal3751 animal3590 animal51 male Angler 2015
animal3752 animal3579 animal15 male Angler 2015
animal3753 animal3573 animal3583 female Angler 2015
animal3754 animal3586 animal3244 male Angler 2015
animal3755 animal3540 animal48 female Angler 2015
animal3756 animal3566 animal65 female Angler 2015
animal3757 animal3561 animal29 female Angler 2015
animal3758 animal3585 animal29 male Angler 2015
animal3759 animal3579 animal73 male Angler 2015
animal3760 animal3568 animal67 female Angler 2015
animal3761 animal3561 animal57 female Angler 2015
animal3762 animal3205 animal3554 female Angler 2015
animal3763 animal3529 animal27 male Angler 2015
animal3764 animal3563 animal15 female Angler 2015
animal3765 animal3568 animal59 female Angler 2015
animal3766 animal3570 animal24 male Angler 2015
animal3767 animal3542 animal39 male Angler 2015
animal3768 animal3563 animal38 male Angler 2015
animal3769 animal3586 animal24 male Angler 2015
animal3770 animal3573 animal40 male Angler 2015
animal3771 animal3540 animal69 female Angler 2015
animal3772 animal3579 animal25 male Angler 2015
animal3773 animal3585 animal72 male Angler 2015
animal3774 animal3540 animal67 male Angler 2015
animal3775 animal3563 animal61 male Angler 2015
animal3776 animal3589 animal73 male Angler 2015
animal3777 animal3579 animal36 male Angler 2015
animal3778 animal3 animal3554 female Angler 2015
animal3779 animal3529 animal36 female Angler 2015
animal3780 animal3550 animal53 female Angler 2015
animal3781 animal3532 animal63 female Angler 2015
animal3782 animal3570 animal68 male Angler 2015
animal3783 animal3579 animal32 male Angler 2015
animal3784 animal3568 animal25 male Angler 2015
animal3785 animal3585 animal35 male Angler 2015
animal3786 animal3529 animal70 female Angler 2015
animal3787 animal3589 animal68 male Angler 2015
animal3788 animal3513 animal25 female Angler 2015
animal3789 animal3542 animal54 female Angler 2015
animal3790 animal3563 animal51 male Angler 2015
animal3791 animal3532 animal23 male Angler 2015
animal3792 animal3587 animal79 female Angler 2015
animal3793 animal3590 animal35 female Angler 2015
animal3794 animal3532 animal32 male Angler 2015
animal3795 animal13 animal3554 female Angler 2015
animal3796 animal3579 animal41 female Angler 2015
animal3797 animal3579 animal46 male Angler 2015
animal3798 animal3529 animal63 female Angler 2015
animal3799 animal3529 animal47 female Angler 2015
animal3800 animal3570 animal39 female Angler 2015
animal3801 animal3573 animal30 female Angler 2015
animal3802 animal3586 animal79 female Angler 2015
animal3803 animal3486 animal3583 female Angler 2015
animal3804 animal3579 animal86 male Angler 2015
animal3805 animal3561 animal35 male Angler 2015
animal3806 animal3579 animal3583 male Angler 2015
animal3807 animal3550 animal42 female Angler 2015
animal3808 animal3532 animal33 female Angler 2015
animal3809 animal3513 animal66 male Angler 2015
animal3810 animal3566 animal40 female Angler 2015
animal3811 animal3566 animal85 male Angler 2015
animal3812 animal3513 animal24 male Angler 2015
animal3813 animal3513 animal53 female Angler 2015
animal3814 animal3542 animal30 male Angler 2015
animal3815 animal3532 animal71 male Angler 2016
animal3816 animal3589 animal19 male Angler 2016
animal3817 animal3550 animal86 male Angler 2016
animal3818 animal3573 animal39 female Angler 2016
animal3819 animal3579 animal48 female Angler 2016
animal3820 animal3529 animal63 female Angler 2016
animal3821 animal3589 animal84 male Angler 2016
animal3822 animal3590 animal80 female Angler 2016
animal3823 animal3563 animal50 female Angler 2016
animal3824 animal3586 animal68 female Angler 2016
animal3825 animal3490 animal3604 female Angler 2016
animal3826 animal3597 animal1371 male Angler 2016
animal3827 animal3597 animal3625 female Angler 2016
animal3828 animal1329 animal3619 male Angler 2016
animal3829 animal1329 animal3619 male Angler 2016
animal3830 animal3636 animal3606 male Angler 2017
animal3831 animal3636 animal1357 female Angler 2017
animal3832 animal3636 animal3616 male Angler 2017
animal3833 animal3490 animal3606 female Angler 2017
animal3834 animal3597 animal1356 male Angler 2017
animal3835 animal3597 animal1366 female Angler 2017
animal3836 animal1329 animal3612 female Angler 2017
animal3837 animal1329 animal3621 female Angler 2017
animal3838 animal1353 animal3611 female Angler 2018
animal3839 animal1353 animal3607 female Angler 2018
animal3840 animal3636 animal1341 female Angler 2018
animal3841 animal3636 animal1356 female Angler 2018
animal3842 animal3636 animal1346 male Angler 2018
animal3843 animal3636 animal1322 female Angler 2018
animal3844 animal3636 animal1355 female Angler 2018
animal3845 animal3636 animal3622 male Angler 2018
animal3846 animal3490 animal3628 male Angler 2018
animal3847 animal3490 animal3634 female Angler 2018
animal3848 animal3490 animal3632 female Angler 2018
animal3849 animal3490 animal3595 male Angler 2018
animal3850 animal3490 animal3640 male Angler 2018
animal3851 animal3597 animal1328 male Angler 2018
animal3852 animal3597 animal1325 male Angler 2018
animal3853 animal3597 animal1349 female Angler 2018
animal3854 animal3597 animal1327 male Angler 2018
animal3855 animal1329 animal3632 female Angler 2018
animal3856 animal1353 animal3618 male Angler 2019
animal3857 animal3636 animal1328 female Angler 2019
animal3858 animal3636 animal3602 male Angler 2019
animal3859 animal3636 animal3619 female Angler 2019
animal3860 animal3636 animal3616 female Angler 2019
animal3861 animal3636 animal1349 male Angler 2019
animal3862 animal3490 animal3604 male Angler 2019
animal3863 animal3490 animal3621 male Angler 2019
animal3864 animal3490 animal3602 female Angler 2019
animal3865 animal3490 animal3611 female Angler 2019
animal3866 animal3597 animal3635 female Angler 2019
animal3867 animal3597 animal3374 male Angler 2019
animal3868 animal3597 animal3374 male Angler 2019
animal3869 animal3597 animal3640 female Angler 2019
animal3870 animal3597 animal3616 male Angler 2019
animal3871 animal3597 animal1341 female Angler 2019
animal3872 animal1329 animal3612 male Angler 2019
animal3873 animal1329 animal3621 male Angler 2019
animal3874 animal1353 animal3610 male Angler 2020
animal3875 animal1353 animal3607 male Angler 2020
animal3876 animal3636 animal3628 male Angler 2020
animal3877 animal3636 animal1351 female Angler 2020
animal3878 animal3636 animal1327 male Angler 2020
animal3879 animal3490 animal3607 female Angler 2020
animal3880 animal3490 animal3621 female Angler 2020
animal3881 animal3597 animal3374 female Angler 2020
animal3882 animal3636 animal1368 female Angler 2021
animal3883 animal3636 animal1357 male Angler 2021
animal3884 animal3636 animal1349 male Angler 2021
animal3885 animal3636 animal3632 female Angler 2021
animal3886 animal3248 animal3659 female Holstein 1992
animal3887 animal2928 animal3664 female Angler 1996
animal3888 animal3663 animal3661 female Angler 1996
animal3889 animal3377 animal3666 female Angler 1997
animal3890 animal2427 animal3662 male Angler 1997
animal3891 animal3225 animal3665 female Angler 1998
animal3892 animal3544 animal3669 female Angler 1999
animal3893 animal3438 animal3667 female Angler 2000
animal3894 animal3420 animal3660 female Angler 2000
animal3895 animal3663 animal3549 female Angler 2000
animal3896 animal3663 animal3546 female Angler 2000
animal3897 animal3518 animal3684 female Angler 2001
animal3898 animal3518 animal3676 male Angler 2001
animal3899 animal3332 animal3668 female Angler 2001
animal3900 animal3670 animal3238 male Angler 2002
animal3901 animal3670 animal3460 male Angler 2002
animal3902 animal3670 animal3548 female Angler 2002
animal3903 animal3670 animal3462 female Angler 2002
animal3904 animal3235 animal3675 female Angler 2002
animal3905 animal3529 animal3678 male Angler 2002
animal3906 animal3235 animal3677 female Angler 2002
animal3907 animal3670 animal3534 female Angler 2002
animal3908 animal3670 animal3460 female Angler 2002
animal3909 animal3332 animal3672 male Angler 2002
animal3910 animal3670 animal3539 female Angler 2003
animal3911 animal3348 animal3704 female Angler 2003
animal3912 animal3349 animal3674 female Angler 2003
animal3913 animal3362 animal3685 female Angler 2003
animal3914 animal3361 animal3681 female Angler 2003
animal3915 animal3439 animal3671 female Angler 2003
animal3916 animal3540 animal3678 male Angler 2004
animal3917 animal3458 animal3693 female Angler 2004
animal3918 animal3532 animal3697 female Angler 2004
animal3919 animal3439 animal3701 female Angler 2004
animal3920 animal2624 animal3706 female Angler 2004
animal3921 animal3550 animal3683 female Angler 2004
animal3922 animal3240 animal3682 female Angler 2004
animal3923 animal2624 animal3687 female Angler 2004
animal3924 animal3550 animal3672 male Angler 2004
animal3925 animal3349 animal3686 male Angler 2004
animal3926 animal3698 animal3694 male Angler 2004
animal3927 animal2624 animal3691 male Angler 2004
animal3928 animal3550 animal3694 female Angler 2004
animal3929 animal3468 animal3723 female Angler 2005
animal3930 animal3680 animal3559 male Angler 2005
animal3931 animal3040 animal3676 female Angler 2005
animal3932 animal3550 animal3708 male Angler 2005
animal3933 animal3570 animal3705 female Angler 2005
animal3934 animal3464 animal3710 female Angler 2005
animal3935 animal3040 animal3724 male Angler 2005
animal3936 animal3468 animal3720 female Angler 2005
animal3937 animal3561 animal3694 female Angler 2006
animal3938 animal3472 animal3673 male Angler 2006
animal3939 animal2803 animal3726 male Angler 2006
animal3940 animal3458 animal3730 female Angler 2006
animal3941 animal3468 animal3732 female Angler 2006
animal3942 animal2803 animal3714 male Angler 2007
animal3943 animal3680 animal3564 male Angler 2007
animal3944 animal3680 animal3735 female Angler 2007
animal3945 animal3702 animal3487 female Angler 2007
animal3946 animal3477 animal3737 male Angler 2007
animal3947 animal3702 animal3706 male Angler 2007
animal3948 animal3361 animal3735 male Angler 2008
animal3949 animal3586 animal3738 female Angler 2008
animal3950 animal3474 animal3736 male Angler 2008
animal3951 animal3468 animal3741 female Angler 2008
animal3952 animal3702 animal3727 male Angler 2008
animal3953 animal2803 animal3706 male Angler 2008
animal3954 animal3550 animal3719 female Angler 2008
animal3955 animal3718 animal3717 female Angler 2009
animal3956 animal3482 animal3735 male Angler 2009
animal3957 animal3480 animal3735 male Angler 2009
animal3958 animal3145 animal3717 female Angler 2010
animal3959 animal3364 animal3741 female Angler 2012
animal3960 animal3489 animal3748 female Angler 2013
animal3961 animal3715 animal15 female Angler 2015
animal3962 animal3702 animal21 male Angler 2015
animal3963 animal3718 animal22 female Angler 2015
animal3964 animal3729 animal23 male Angler 2015
animal3965 animal3690 animal26 female Angler 2015
animal3966 animal3718 animal27 male Angler 2015
animal3967 animal3663 animal28 male Angler 2015
animal3968 animal3713 animal29 female Angler 2015
animal3969 animal3728 animal30 female Angler 2015
animal3970 animal3745 animal31 male Angler 2015
animal3971 animal3698 animal38 female Angler 2015
animal3972 animal3695 animal42 male Angler 2015
animal3973 animal3722 animal46 female Angler 2015
animal3974 animal3702 animal48 male Angler 2015
animal3975 animal3698 animal38 female Angler 2015
animal3976 animal3709 animal31 male Angler 2015
animal3977 animal3733 animal52 female Angler 2015
animal3978 animal3744 animal53 male Angler 2015
animal3979 animal3663 animal17 female Angler 2015
animal3980 animal3688 animal19 female Angler 2015
animal3981 animal3742 animal58 female Angler 2015
animal3982 animal3734 animal60 male Angler 2015
animal3983 animal3745 animal3236 male Angler 2015
animal3984 animal3709 animal57 male Angler 2015
animal3985 animal3729 animal62 female Angler 2015
animal3986 animal3718 animal36 male Angler 2015
animal3987 animal3743 animal16 male Angler 2015
animal3988 animal3740 animal42 female Angler 2015
animal3989 animal3740 animal68 female Angler 2015
animal3990 animal3690 animal69 female Angler 2015
animal3991 animal3712 animal21 female Angler 2015
animal3992 animal3744 animal70 female Angler 2015
animal3993 animal10 animal3706 male Angler 2015
animal3994 animal3739 animal25 female Angler 2015
animal3995 animal3695 animal3583 male Angler 2015
animal3996 animal3575 animal3706 female Angler 2015
animal3997 animal3689 animal54 male Angler 2015
animal3998 animal3725 animal27 female Angler 2015
animal3999 animal3729 animal17 male Angler 2015
animal4000 animal3715 animal64 female Angler 2015
animal4001 animal3718 animal27 male Angler 2015
animal4002 animal3688 animal58 male Angler 2015
animal4003 animal3715 animal65 male Angler 2015
animal4004 animal3689 animal74 female Angler 2015
animal4005 animal3699 animal3714 male Angler 2015
animal4006 animal3689 animal43 male Angler 2015
animal4007 animal3722 animal59 female Angler 2015
animal4008 animal3542 animal3747 female Angler 2015
animal4009 animal3733 animal19 female Angler 2015
animal4010 animal4 animal3706 male Angler 2015
animal4011 animal3711 animal78 male Angler 2015
animal4012 animal3725 animal3244 male Angler 2015
animal4013 animal3715 animal61 male Angler 2015
animal4014 animal3725 animal41 female Angler 2015
animal4015 animal3589 animal3747 male Angler 2015
animal4016 animal3699 animal80 male Angler 2015
animal4017 animal3744 animal31 female Angler 2015
