Indiv Sire Dam Born Sex Breed EBV
animal10567 animal8182 animal5481 2018 female Angler 89.95
animal10568 animal8182 animal3822 2018 male Angler 86.51
animal10569 animal8182 animal4031 2018 male Angler 81.3
animal10570 animal8182 animal3764 2018 male Angler 90.3
animal10571 animal8182 animal5452 2018 female Angler 71.57
animal10572 animal8182 animal5417 2018 female Angler 81.88
animal10573 animal8182 animal5431 2018 male Angler 78.9
animal10574 animal8182 animal4349 2018 male Angler 102.75
animal10575 animal8182 animal4084 2018 female Angler 88.53
animal10576 animal8182 animal5463 2018 male Angler 87.5
animal10577 animal8182 animal4361 2018 male Angler 104.83
animal10578 animal8182 animal5348 2018 male Angler 88.59
animal10579 animal8182 animal3638 2018 male Angler 71.2
animal10580 animal8182 animal4049 2018 male Angler 82.77
animal10581 animal8182 animal4874 2018 male Angler 95.92
animal10582 animal8182 animal1325 2018 female Angler 84.67
animal10583 animal8182 animal4390 2018 female Angler 87.54
animal10584 animal8182 animal6226 2018 female Angler 96.59
animal7048 animal5378 animal5370 2018 female Angler 93.51
animal7049 animal5378 animal4082 2018 female Angler 100.72
animal7050 animal5378 animal4843 2018 female Angler 85.68
animal7051 animal5378 animal3796 2018 female Angler 99.08
animal7052 animal5378 animal4843 2018 male Angler 91.05
animal7053 animal5378 animal3599 2018 female Angler 96.45
animal7054 animal5378 animal4903 2018 female Angler 104.65
animal7055 animal5378 animal4802 2018 male Angler 90.87
animal7056 animal5378 animal3497 2018 male Angler 97.11
animal7057 animal5378 animal4775 2018 male Angler 71.71
animal8520 animal5378 animal6162 2018 female Angler 86.25
animal7058 animal5378 animal4932 2018 male Angler 92.48
animal7059 animal5378 animal5457 2018 male Angler 101.95
animal7060 animal5378 animal5339 2018 male Angler 84.72
animal7061 animal5378 animal5479 2018 female Angler 86.37
animal7062 animal5378 animal3491 2018 female Angler 101.12
animal7063 animal5378 animal4846 2018 male Angler 103.01
animal7064 animal5378 animal4934 2018 male Angler 92.65
animal7065 animal5378 animal4911 2018 male Angler 85.96
animal7066 animal5378 animal4351 2018 female Angler 89.65
animal7067 animal5378 animal5368 2018 female Angler 90.12
animal7068 animal5378 animal5479 2018 female Angler 92.33
animal7069 animal5378 animal4772 2018 female Angler 78.56
animal7070 animal5378 animal4775 2018 male Angler 76.91
animal7071 animal5378 animal4800 2018 female Angler 87.66
animal8521 animal5378 animal6202 2018 female Angler 94.93
animal7072 animal5378 animal4931 2018 male Angler 87.21
animal7073 animal5378 animal4802 2018 male Angler 94.18
animal7074 animal5378 animal5395 2018 female Angler 91.19
animal7075 animal5378 animal4852 2018 male Angler 100
animal10585 animal5378 animal8192 2018 male Angler 98.45
animal7076 animal5378 animal4362 2018 female Angler 94.75
animal7077 animal5378 animal4873 2018 male Angler 98.64
animal7078 animal5378 animal4009 2018 female Angler 95.21
animal7079 animal5378 animal4804 2018 female Angler 88.97
animal7080 animal5378 animal5382 2018 female Angler 105.82
animal7081 animal5378 animal4838 2018 male Angler 106.82
animal7082 animal5378 animal4921 2018 female Angler 85.67
animal5786 animal4001 animal4889 2018 female Angler 92.49
animal5787 animal4001 animal4778 2018 female Angler 92.83
animal4526 animal4001 animal3624 2018 female Angler 87.93
animal7083 animal4001 animal5417 2018 male Angler 91.69
animal4527 animal4001 animal3961 2018 male Angler 94.13
animal7084 animal4001 animal5386 2018 female Angler 101.8
animal5788 animal4001 animal4799 2018 male Angler 119.82
animal5789 animal4001 animal4942 2018 male Angler 81.09
animal4528 animal4001 animal4026 2018 female Angler 107.29
animal5117 animal4001 animal4374 2018 female Angler 83.58
animal5790 animal4001 animal4894 2018 male Angler 82.69
animal7085 animal4001 animal5379 2018 female Angler 113.89
animal8522 animal4001 animal6225 2018 female Angler 102.24
animal4529 animal4001 animal1354 2018 male Angler 93.18
animal7086 animal4001 animal5436 2018 male Angler 107.95
animal5791 animal4001 animal4950 2018 female Angler 87.6
animal4530 animal4001 animal3628 2018 male Angler 96.82
animal5118 animal4001 animal4295 2018 female Angler 87.1
animal4531 animal4001 animal1341 2018 female Angler 88.16
animal5792 animal4001 animal4847 2018 female Angler 97.01
animal5793 animal4001 animal4803 2018 male Angler 114.71
animal4532 animal4001 animal4058 2018 male Angler 97.46
animal5794 animal4001 animal4807 2018 female Angler 96.38
animal5795 animal4001 animal4875 2018 female Angler 91.63
animal5119 animal4001 animal4321 2018 male Angler 87.47
animal4533 animal4001 animal3963 2018 female Angler 97.18
animal4534 animal4001 animal3980 2018 female Angler 90.24
animal4535 animal4001 animal3793 2018 male Angler 92.98
animal4536 animal4001 animal1338 2018 female Angler 93.74
animal5120 animal4001 animal4275 2018 male Angler 96.35
animal5121 animal4001 animal4297 2018 female Angler 111.14
animal5122 animal4001 animal4326 2018 male Angler 99.74
animal8523 animal4001 animal6168 2018 male Angler 88.68
animal4537 animal4001 animal3786 2018 female Angler 84.6
animal5123 animal4001 animal4281 2018 female Angler 95.45
animal5124 animal4001 animal4295 2018 male Angler 98.64
animal5796 animal4001 animal4921 2018 female Angler 95.46
animal4538 animal4001 animal3602 2018 male Angler 104.33
animal7087 animal1329 animal5440 2018 female Angler 99.29
animal4156 animal1329 animal3750 2018 female Angler 95.66
animal7088 animal1329 animal5425 2018 female Angler 87.57
animal8524 animal1329 animal6228 2018 male Angler 85.62
animal4539 animal1329 animal3968 2018 male Angler 92.33
animal10586 animal1329 animal8197 2018 male Angler 90.9
animal1690 animal1329 animal1356 2018 female Angler 88.93
animal5125 animal1329 animal4314 2018 male Angler 79.43
animal4540 animal1329 animal3985 2018 female Angler 84.62
animal7089 animal1329 animal5424 2018 female Angler 101.91
animal11718 animal1329 animal10296 2018 male Angler 99.08
animal4541 animal1329 animal4023 2018 female Angler 83.51
animal8525 animal1329 animal6236 2018 female Angler 92.86
animal7090 animal1329 animal5377 2018 male Angler 95.34
animal8526 animal1329 animal6220 2018 male Angler 81.4
animal5797 animal1329 animal4838 2018 female Angler 86.75
animal4542 animal1329 animal4055 2018 male Angler 88.68
animal3649 animal1329 animal3496 2018 male Angler 82
animal5798 animal1329 animal4864 2018 female Angler 80.08
animal5799 animal1329 animal4803 2018 female Angler 101.47
animal4157 animal1329 animal3808 2018 female Angler 86.46
animal5800 animal1329 animal4774 2018 female Angler 80.76
animal4543 animal1329 animal4047 2018 male Angler 90.94
animal7091 animal1329 animal5392 2018 female Angler 89.56
animal8527 animal1329 animal6180 2018 male Angler 84.16
animal5801 animal1329 animal4784 2018 female Angler 98.55
animal4544 animal1329 animal4040 2018 male Angler 86.86
animal3855 animal1329 animal3632 2018 female Angler 80.53
animal7092 animal1329 animal5421 2018 male Angler 76.25
animal5802 animal1329 animal4950 2018 female Angler 81.07
animal4158 animal1329 animal3779 2018 female Angler 79.17
animal5803 animal1329 animal4777 2018 female Angler 88.96
animal5126 animal1329 animal4307 2018 female Angler 76.45
animal7093 animal1329 animal5449 2018 male Angler 86.52
animal4545 animal1329 animal4009 2018 male Angler 96.94
animal8528 animal1329 animal6219 2018 female Angler 93.51
animal5127 animal1329 animal4280 2018 female Angler 82.1
animal12847 animal1329 animal11704 2018 female Angler 107.41
animal8529 animal6183 animal3611 2018 female Angler 85.67
animal8530 animal6183 animal5395 2018 male Angler 91.7
animal8531 animal6183 animal3606 2018 male Angler 84.44
animal8532 animal6183 animal4042 2018 female Angler 105.44
animal8533 animal6183 animal3977 2018 male Angler 91.77
animal8534 animal6183 animal4076 2018 male Angler 78.91
animal8535 animal6183 animal3374 2018 female Angler 72.36
animal8536 animal6183 animal4875 2018 female Angler 97.65
animal8537 animal6183 animal4841 2018 male Angler 103.7
animal8538 animal6183 animal4305 2018 female Angler 95.36
animal8539 animal6183 animal4097 2018 male Angler 79.72
animal8540 animal6183 animal4390 2018 male Angler 97.9
animal8541 animal6183 animal4391 2018 male Angler 86.69
animal8542 animal6183 animal3612 2018 male Angler 117.79
animal8543 animal6183 animal4023 2018 male Angler 76.78
animal8544 animal6183 animal5386 2018 male Angler 93.29
animal8545 animal6183 animal4840 2018 female Angler 86.12
animal8546 animal6183 animal4864 2018 male Angler 79.82
animal10587 animal6183 animal8181 2018 female Angler 103.84
animal8547 animal6183 animal4067 2018 male Angler 84.43
animal8548 animal6183 animal6215 2018 male Angler 96.01
animal8549 animal6183 animal4926 2018 male Angler 93.01
animal8550 animal6183 animal4942 2018 male Angler 84.43
animal8551 animal6183 animal1339 2018 female Angler 91.53
animal8552 animal6183 animal4287 2018 female Angler 101.88
animal8553 animal6183 animal5433 2018 male Angler 112.49
animal8554 animal6183 animal4090 2018 male Angler 114.42
animal8555 animal6183 animal5485 2018 female Angler 84.8
animal8556 animal6183 animal4330 2018 female Angler 85.22
animal8557 animal6183 animal4903 2018 female Angler 89.28
animal8558 animal6183 animal5337 2018 female Angler 82.06
animal8559 animal6183 animal5430 2018 male Angler 99.31
animal8560 animal6183 animal4895 2018 female Angler 94.5
animal8561 animal6183 animal4361 2018 male Angler 85.38
animal8562 animal6183 animal5447 2018 male Angler 102.32
animal8563 animal6183 animal1357 2018 male Angler 107.43
animal8564 animal6183 animal5441 2018 female Angler 96.37
animal10588 animal6183 animal8210 2018 female Angler 82.82
animal12848 animal11703 animal5475 2018 female Angler 88.98
animal12849 animal11703 animal8212 2018 female Angler 99.13
animal12850 animal11703 animal8193 2018 female Angler 95.14
animal12851 animal11703 animal6170 2018 female Angler 93.65
animal12852 animal11703 animal4944 2018 male Angler 85.71
animal12853 animal11703 animal4067 2018 male Angler 82.87
animal12854 animal11703 animal3625 2018 male Angler 98.29
animal12855 animal11703 animal3996 2018 male Angler 114.52
animal12856 animal11703 animal4101 2018 female Angler 109.76
animal12857 animal11703 animal1326 2018 female Angler 96.72
animal12858 animal11703 animal4025 2018 female Angler 110.68
animal12859 animal11703 animal3990 2018 male Angler 90.1
animal12860 animal11703 animal4302 2018 female Angler 103.81
animal12861 animal11703 animal3603 2018 male Angler 83.49
animal12862 animal11703 animal4038 2018 male Angler 100.84
animal12863 animal11703 animal3973 2018 male Angler 95.18
animal12864 animal11703 animal4959 2018 male Angler 100.79
animal12865 animal11703 animal4846 2018 female Angler 110.66
animal12866 animal11703 animal4900 2018 female Angler 102.26
animal12867 animal11703 animal3965 2018 female Angler 103.6
animal12868 animal11703 animal5382 2018 male Angler 93.57
animal12869 animal11703 animal4792 2018 female Angler 94.66
animal12870 animal11703 animal3803 2018 female Angler 107.51
animal12871 animal11703 animal4374 2018 male Angler 97.79
animal12872 animal11703 animal4774 2018 male Angler 98.42
animal12873 animal11703 animal6170 2018 female Angler 96.25
animal12874 animal11703 animal4399 2018 male Angler 95.99
animal12875 animal11703 animal1359 2018 female Angler 96.66
animal12876 animal11703 animal3801 2018 female Angler 94.68
animal12877 animal11703 animal8171 2018 female Angler 95.16
animal12878 animal11703 animal4760 2018 male Angler 83.73
animal12879 animal11703 animal3802 2018 male Angler 79.74
animal12880 animal11703 animal6243 2018 female Angler 107.25
animal12881 animal11703 animal4386 2018 female Angler 95.21
animal12882 animal11703 animal4805 2018 male Angler 95.01
animal12883 animal11703 animal3992 2018 female Angler 111.95
animal12884 animal11703 animal3989 2018 male Angler 98.13
animal12885 animal11703 animal4341 2018 female Angler 93.01
animal7094 animal5399 animal4296 2018 female Angler 90.05
animal8565 animal5399 animal6242 2018 male Angler 75.5
animal7095 animal5399 animal4064 2018 male Angler 91.49
animal8566 animal5399 animal6197 2018 female Angler 99.23
animal7096 animal5399 animal3370 2018 female Angler 92.51
animal7097 animal5399 animal4372 2018 female Angler 96.89
animal7098 animal5399 animal5364 2018 female Angler 94.21
animal10589 animal5399 animal8205 2018 female Angler 90.12
animal7099 animal5399 animal5489 2018 female Angler 84.78
animal7100 animal5399 animal3798 2018 male Angler 87.33
animal7101 animal5399 animal4273 2018 male Angler 103.78
animal7102 animal5399 animal4397 2018 male Angler 90.05
animal8567 animal5399 animal6244 2018 male Angler 99.89
animal7103 animal5399 animal4398 2018 female Angler 85.54
animal8568 animal5399 animal6242 2018 male Angler 87.06
animal7104 animal5399 animal3802 2018 female Angler 82.62
animal7105 animal5399 animal3749 2018 female Angler 98.34
animal7106 animal5399 animal4075 2018 female Angler 105.46
animal7107 animal5399 animal3620 2018 male Angler 83.61
animal7108 animal5399 animal3755 2018 female Angler 82.93
animal7109 animal5399 animal4814 2018 female Angler 91.23
animal7110 animal5399 animal5485 2018 female Angler 93.81
animal7111 animal5399 animal4307 2018 female Angler 90.23
animal7112 animal5399 animal4789 2018 female Angler 87.91
animal7113 animal5399 animal1351 2018 female Angler 96.36
animal7114 animal5399 animal5429 2018 male Angler 94.48
animal7115 animal5399 animal4061 2018 male Angler 92.2
animal7116 animal5399 animal4945 2018 male Angler 65.13
animal7117 animal5399 animal5477 2018 female Angler 92.27
animal7118 animal5399 animal4065 2018 male Angler 100.49
animal8569 animal5399 animal6174 2018 male Angler 95.49
animal7119 animal5399 animal5445 2018 female Angler 79.74
animal7120 animal5399 animal5478 2018 female Angler 105.09
animal7121 animal5399 animal3610 2018 male Angler 101.48
animal7122 animal5399 animal4833 2018 male Angler 97.67
animal7123 animal5399 animal5452 2018 female Angler 76.93
animal10590 animal5399 animal8193 2018 female Angler 99.85
animal7124 animal5399 animal4960 2018 male Angler 86.49
animal7125 animal5399 animal4352 2018 female Angler 91.16
animal10591 animal8191 animal5440 2018 male Angler 85.53
animal10592 animal8191 animal4837 2018 male Angler 88.55
animal10593 animal8191 animal6240 2018 female Angler 86.03
animal10594 animal8191 animal4342 2018 male Angler 78.4
animal10595 animal8191 animal8202 2018 male Angler 87.28
animal10596 animal8191 animal6173 2018 female Angler 90.99
animal10597 animal8191 animal1355 2018 male Angler 104.94
animal10598 animal8191 animal4781 2018 female Angler 84.19
animal10599 animal8191 animal4389 2018 female Angler 97.84
animal10600 animal8191 animal5348 2018 male Angler 102.09
animal10601 animal8191 animal5384 2018 female Angler 82.06
animal10602 animal8191 animal4017 2018 female Angler 81.65
animal10603 animal8191 animal1348 2018 female Angler 83.8
animal10604 animal8191 animal3779 2018 male Angler 91.97
animal10605 animal8191 animal4311 2018 female Angler 94.82
animal10606 animal8191 animal6244 2018 female Angler 101.3
animal10607 animal8191 animal4007 2018 male Angler 95.39
animal10608 animal8191 animal4840 2018 male Angler 93.43
animal10609 animal8191 animal3800 2018 female Angler 97.82
animal10610 animal8191 animal3370 2018 male Angler 85.49
animal10611 animal8191 animal5471 2018 male Angler 98.78
animal10612 animal8191 animal3807 2018 female Angler 87.59
animal10613 animal8191 animal4880 2018 male Angler 93.67
animal10614 animal8191 animal4853 2018 female Angler 92.13
animal10615 animal8191 animal5367 2018 female Angler 92.68
animal10616 animal8191 animal4070 2018 female Angler 85.4
animal10617 animal8191 animal4299 2018 female Angler 83.86
animal10618 animal8191 animal4305 2018 female Angler 85.73
animal10619 animal8191 animal5368 2018 female Angler 92.72
animal10620 animal8191 animal4273 2019 female Angler 97.82
animal10621 animal8191 animal4348 2019 female Angler 88.85
animal10622 animal8191 animal5343 2019 female Angler 91.81
animal10623 animal8191 animal4018 2019 female Angler 81.52
animal10624 animal8191 animal3991 2019 male Angler 97.95
animal10625 animal8191 animal4907 2019 male Angler 79.88
animal10626 animal8191 animal4835 2019 female Angler 90.29
animal10627 animal8191 animal6217 2019 male Angler 75.45
animal10628 animal8191 animal6187 2019 male Angler 85.93
animal10629 animal8191 animal3374 2019 female Angler 74.58
animal7126 animal5406 animal4861 2019 female Angler 100.86
animal7127 animal5406 animal4841 2019 female Angler 78.61
animal7128 animal5406 animal4280 2019 female Angler 90.4
animal7129 animal5406 animal5486 2019 female Angler 107.59
animal7130 animal5406 animal5357 2019 female Angler 94.02
animal7131 animal5406 animal1337 2019 female Angler 85.21
animal7132 animal5406 animal4030 2019 female Angler 102.34
animal10630 animal5406 animal8198 2019 female Angler 83.16
animal7133 animal5406 animal4086 2019 female Angler 90.75
animal7134 animal5406 animal4887 2019 female Angler 86.3
animal7135 animal5406 animal4936 2019 female Angler 84.35
animal8570 animal5406 animal6163 2019 male Angler 86.17
animal7136 animal5406 animal5446 2019 male Angler 67.47
animal7137 animal5406 animal1368 2019 male Angler 94.84
animal7138 animal5406 animal4758 2019 female Angler 90.02
animal7139 animal5406 animal1360 2019 female Angler 77.46
animal7140 animal5406 animal5433 2019 male Angler 111.94
animal7141 animal5406 animal5402 2019 female Angler 88.21
animal10631 animal5406 animal8204 2019 male Angler 82.95
animal8571 animal5406 animal6161 2019 male Angler 81.75
animal7142 animal5406 animal4938 2019 female Angler 90.84
animal8572 animal5406 animal6180 2019 male Angler 73.93
animal7143 animal5406 animal4306 2019 male Angler 94.55
animal10632 animal5406 animal8188 2019 female Angler 87.9
animal7144 animal5406 animal4092 2019 female Angler 74.15
animal7145 animal5406 animal5388 2019 female Angler 111.15
animal7146 animal5406 animal4355 2019 female Angler 88.28
animal10633 animal5406 animal8211 2019 male Angler 107.22
animal11719 animal5406 animal10293 2019 female Angler 93.63
animal7147 animal5406 animal3620 2019 male Angler 73.52
animal7148 animal5406 animal4277 2019 male Angler 98.13
animal7149 animal5406 animal3622 2019 female Angler 96.66
animal7150 animal5406 animal5439 2019 female Angler 82.64
animal7151 animal5406 animal4034 2019 female Angler 80.35
animal7152 animal5406 animal5339 2019 female Angler 83.82
animal7153 animal5406 animal4306 2019 female Angler 102.09
animal7154 animal5406 animal1346 2019 male Angler 91.43
animal7155 animal5406 animal4309 2019 male Angler 92.6
animal7156 animal5406 animal5422 2019 female Angler 84.5
animal7157 animal4866 animal5423 2019 female Angler 91.64
animal5804 animal4866 animal3610 2019 male Angler 104.9
animal5805 animal4866 animal4302 2019 male Angler 92.46
animal5806 animal4866 animal1366 2019 male Angler 85.33
animal5807 animal4866 animal4824 2019 male Angler 104.33
animal8573 animal4866 animal6249 2019 female Angler 103.77
animal5808 animal4866 animal1335 2019 male Angler 90.82
animal7158 animal4866 animal5405 2019 male Angler 109.15
animal5809 animal4866 animal3599 2019 female Angler 89.73
animal5810 animal4866 animal4297 2019 male Angler 101.49
animal5811 animal4866 animal4301 2019 female Angler 103.56
animal5812 animal4866 animal4092 2019 female Angler 92.28
animal5813 animal4866 animal4042 2019 female Angler 100.12
animal10634 animal4866 animal8183 2019 male Angler 95.36
animal5814 animal4866 animal3616 2019 male Angler 100.6
animal8574 animal4866 animal6178 2019 male Angler 98.67
animal5815 animal4866 animal3800 2019 male Angler 98.51
animal8575 animal4866 animal6224 2019 female Angler 106.02
animal8576 animal4866 animal6228 2019 male Angler 81.03
animal5816 animal4866 animal1341 2019 male Angler 88.18
animal5817 animal4866 animal4337 2019 female Angler 99.6
animal10635 animal4866 animal8200 2019 female Angler 92.28
animal5818 animal4866 animal3757 2019 male Angler 97.73
animal8577 animal4866 animal6162 2019 female Angler 85.46
animal5819 animal4866 animal4088 2019 female Angler 82.64
animal7159 animal4866 animal5357 2019 male Angler 94.87
animal7160 animal4866 animal5355 2019 female Angler 102.27
animal5820 animal4866 animal3780 2019 female Angler 93.48
animal5821 animal4866 animal4350 2019 male Angler 91.13
animal5822 animal4866 animal3792 2019 male Angler 82.72
animal5823 animal4866 animal4960 2019 male Angler 90.32
animal5824 animal4866 animal4883 2019 female Angler 100.23
animal5825 animal4866 animal4905 2019 male Angler 91.24
animal5826 animal4866 animal4100 2019 male Angler 101.7
animal7161 animal4866 animal5475 2019 female Angler 107.98
animal5827 animal4866 animal3968 2019 male Angler 90.45
animal5828 animal4866 animal4847 2019 female Angler 84.25
animal5829 animal4866 animal4805 2019 female Angler 102.07
animal5830 animal4866 animal4883 2019 female Angler 101.37
animal7162 animal5418 animal3749 2019 male Angler 86.27
animal7163 animal5418 animal4932 2019 female Angler 82.53
animal7164 animal5418 animal1350 2019 female Angler 82.49
animal7165 animal5418 animal4850 2019 male Angler 106.62
animal7166 animal5418 animal4000 2019 female Angler 99.78
animal7167 animal5418 animal3750 2019 male Angler 99.1
animal8578 animal5418 animal6219 2019 male Angler 95.97
animal7168 animal5418 animal4824 2019 female Angler 88.65
animal7169 animal5418 animal5374 2019 male Angler 78.93
animal7170 animal5418 animal4870 2019 male Angler 92.37
animal10636 animal5418 animal8203 2019 female Angler 95.3
animal7171 animal5418 animal5354 2019 female Angler 85.96
animal7172 animal5418 animal4920 2019 female Angler 81.3
animal7173 animal5418 animal4816 2019 male Angler 92.44
animal7174 animal5418 animal1359 2019 male Angler 86.06
animal7175 animal5418 animal4075 2019 male Angler 97.28
animal7176 animal5418 animal4881 2019 female Angler 93.78
animal7177 animal5418 animal3981 2019 female Angler 79.47
animal7178 animal5418 animal4940 2019 male Angler 81.29
animal7179 animal5418 animal3810 2019 female Angler 87.28
animal7180 animal5418 animal4333 2019 female Angler 76.74
animal8579 animal5418 animal6240 2019 female Angler 88.78
animal7181 animal5418 animal5436 2019 male Angler 91.5
animal8580 animal5418 animal6161 2019 male Angler 93.78
animal7182 animal5418 animal4887 2019 female Angler 94.86
animal7183 animal5418 animal4357 2019 male Angler 85.18
animal7184 animal5418 animal5442 2019 male Angler 91.05
animal7185 animal5418 animal3824 2019 male Angler 64.36
animal7186 animal5418 animal3771 2019 female Angler 73.38
animal7187 animal5418 animal4939 2019 female Angler 91.85
animal7188 animal5418 animal4338 2019 male Angler 90.02
animal7189 animal5418 animal4316 2019 male Angler 71.82
animal7190 animal5418 animal5487 2019 male Angler 88.91
animal7191 animal5418 animal1337 2019 male Angler 80.15
animal7192 animal5418 animal3807 2019 male Angler 93.48
animal7193 animal5418 animal3607 2019 female Angler 82.51
animal7194 animal5418 animal4395 2019 male Angler 87.42
animal7195 animal5418 animal4953 2019 male Angler 84.39
animal7196 animal5418 animal4773 2019 male Angler 63.13
animal12886 animal11706 animal4034 2019 female Angler 96.69
animal12887 animal11706 animal6214 2019 female Angler 99.69
animal12888 animal11706 animal3491 2019 male Angler 103.45
animal12889 animal11706 animal4914 2019 male Angler 88.76
animal12890 animal11706 animal6245 2019 male Angler 95.33
animal12891 animal11706 animal4792 2019 male Angler 92.28
animal12892 animal11706 animal6234 2019 male Angler 87.05
animal12893 animal11706 animal8197 2019 male Angler 80.42
animal12894 animal11706 animal5464 2019 female Angler 96.82
animal12895 animal11706 animal11704 2019 female Angler 115.34
animal12896 animal11706 animal5359 2019 female Angler 98.66
animal12897 animal11706 animal4934 2019 male Angler 106.39
animal12898 animal11706 animal8213 2019 male Angler 82.51
animal12899 animal11706 animal3755 2019 female Angler 95.48
animal12900 animal11706 animal3818 2019 male Angler 112.42
animal12901 animal11706 animal5477 2019 male Angler 91.43
animal12902 animal11706 animal5480 2019 female Angler 78.4
animal12903 animal11706 animal4925 2019 female Angler 95.44
animal12904 animal11706 animal3600 2019 male Angler 108.77
animal12905 animal11706 animal6226 2019 female Angler 102.97
animal12906 animal11706 animal4399 2019 female Angler 74.95
animal12907 animal11706 animal3603 2019 female Angler 89.65
animal12908 animal11706 animal5430 2019 female Angler 118.79
animal12909 animal11706 animal1319 2019 female Angler 89.26
animal12910 animal11706 animal5464 2019 female Angler 85.97
animal12911 animal11706 animal3819 2019 male Angler 98.53
animal12912 animal11706 animal3975 2019 male Angler 89.77
animal12913 animal11706 animal3998 2019 male Angler 108.08
animal12914 animal11706 animal3604 2019 female Angler 85.72
animal12915 animal11706 animal6217 2019 male Angler 90.29
animal12916 animal11706 animal8213 2019 female Angler 91.79
animal12917 animal11706 animal6241 2019 male Angler 86.28
animal12918 animal11706 animal4385 2019 female Angler 83.53
animal12919 animal11706 animal6188 2019 female Angler 71.06
animal12920 animal11706 animal4925 2019 male Angler 87.1
animal12921 animal11706 animal4033 2019 male Angler 103.67
animal12922 animal11706 animal4837 2019 female Angler 98.44
animal12923 animal11706 animal6193 2019 female Angler 106.97
animal12924 animal11706 animal3497 2019 female Angler 102.03
animal7197 animal1353 animal5439 2019 female Angler 90.03
animal10637 animal1353 animal8179 2019 female Angler 93.54
animal1691 animal1353 animal1322 2019 female Angler 91.87
animal4159 animal1353 animal3765 2019 male Angler 85.55
animal4546 animal1353 animal4082 2019 male Angler 85.4
animal5831 animal1353 animal4857 2019 male Angler 100.65
animal4160 animal1353 animal3795 2019 female Angler 62.22
animal4547 animal1353 animal3971 2019 female Angler 91.56
animal10638 animal1353 animal8196 2019 female Angler 90.51
animal4548 animal1353 animal4072 2019 female Angler 86.46
animal4549 animal1353 animal4008 2019 female Angler 101.79
animal4550 animal1353 animal4102 2019 female Angler 96.5
animal5832 animal1353 animal4835 2019 male Angler 88.85
animal4161 animal1353 animal3781 2019 female Angler 95
animal7198 animal1353 animal5487 2019 female Angler 94.53
animal4551 animal1353 animal3991 2019 male Angler 101.04
animal5128 animal1353 animal4371 2019 female Angler 90.03
animal5833 animal1353 animal4830 2019 male Angler 89.01
animal4552 animal1353 animal3988 2019 male Angler 97.75
animal5834 animal1353 animal4826 2019 female Angler 98.66
animal1692 animal1353 animal1326 2019 male Angler 90.72
animal4162 animal1353 animal3824 2019 female Angler 87.32
animal4553 animal1353 animal4061 2019 female Angler 90.71
animal5129 animal1353 animal4388 2019 male Angler 68.51
animal5835 animal1353 animal4880 2019 male Angler 109.06
animal3856 animal1353 animal3618 2019 male Angler 103.59
animal5130 animal1353 animal4397 2019 female Angler 93.82
animal5131 animal1353 animal4364 2019 male Angler 96.21
animal1693 animal1353 animal1371 2019 male Angler 97.09
animal5836 animal1353 animal4937 2019 female Angler 91.17
animal10639 animal1353 animal8204 2019 male Angler 88.74
animal4554 animal1353 animal4049 2019 male Angler 96.79
animal4555 animal1353 animal4101 2019 male Angler 91.15
animal5837 animal1353 animal4865 2019 female Angler 82.06
animal8581 animal1353 animal6169 2019 male Angler 91.38
animal5838 animal1353 animal4817 2019 male Angler 87.87
animal5839 animal1353 animal4777 2019 male Angler 98.66
animal1694 animal1353 animal1368 2019 male Angler 82.24
animal4163 animal1353 animal3788 2019 female Angler 84.32
animal7199 animal5458 animal4299 2019 female Angler 80.76
animal7200 animal5458 animal5364 2019 male Angler 78.03
animal7201 animal5458 animal4788 2019 female Angler 90.22
animal7202 animal5458 animal3607 2019 female Angler 100.02
animal7203 animal5458 animal4316 2019 female Angler 90.44
animal7204 animal5458 animal4810 2019 male Angler 85.13
animal7205 animal5458 animal3761 2019 male Angler 83.64
animal7206 animal5458 animal4343 2019 female Angler 101.41
animal7207 animal5458 animal1318 2019 male Angler 88.56
animal7208 animal5458 animal3640 2019 male Angler 82.17
animal8582 animal5458 animal6179 2019 female Angler 88.96
animal7209 animal5458 animal3618 2019 male Angler 85.51
animal7210 animal5458 animal4850 2019 female Angler 93.63
animal10640 animal5458 animal8189 2019 male Angler 94.62
animal7211 animal5458 animal3634 2019 female Angler 77.82
animal10641 animal5458 animal8188 2019 female Angler 79.69
animal10642 animal5458 animal8169 2019 female Angler 85.92
animal7212 animal5458 animal4807 2019 male Angler 92
animal7213 animal5458 animal4300 2019 male Angler 82.09
animal11720 animal5458 animal10296 2019 male Angler 82.14
animal7214 animal5458 animal3973 2019 male Angler 84.6
animal7215 animal5458 animal4885 2019 female Angler 94.59
animal7216 animal5458 animal3604 2019 male Angler 66.99
animal7217 animal5458 animal4340 2019 female Angler 80.45
animal7218 animal5458 animal4749 2019 male Angler 102.13
animal7219 animal5458 animal5370 2019 female Angler 85.52
animal8583 animal5458 animal6201 2019 male Angler 80.71
animal7220 animal5458 animal5449 2019 female Angler 86.21
animal7221 animal5458 animal4000 2019 male Angler 91.59
animal8584 animal5458 animal6231 2019 male Angler 83.37
animal7222 animal5458 animal3638 2019 female Angler 73.07
animal7223 animal5458 animal4781 2019 male Angler 69.56
animal7224 animal5458 animal3778 2019 female Angler 79.56
animal7225 animal5458 animal4333 2019 male Angler 85.23
animal8585 animal5458 animal6245 2019 female Angler 94.37
animal7226 animal5458 animal4366 2019 female Angler 76.85
animal7227 animal5458 animal3762 2019 female Angler 79.21
